index,dropout,lr,clipnorm,batch_size,context_length,event_embedding_size,rnn_size,loss on a,weight on a1,main_loss,main_acc,a_acc,af1,ar1
45,0.4168462942473957,1.3376202928117303e-05,12.682651788922083,256,11.0,512,512,1.1171050649183414,5.291557875663413,4.177,0.259,0.89,0.898,0.602
45,0.4168462942473957,1.3376202928117303e-05,12.682651788922083,256,11.0,512,512,1.1171050649183414,5.291557875663413,4.745,0.212,0.874,0.904,0.587
46,0.2640758114556755,1.0029158329144373e-05,10.819055676209521,64,11.0,512,2048,1.1743973966752945,3.0962902811317656,4.171,0.279,0.907,0.891,0.678
47,0.4692047505221708,1.8657315712327125e-05,21.055639733995623,128,33.0,512,512,1.3264627495595334,4.237079551784335,4.586,0.233,0.886,0.899,0.616
48,0.33597578796759453,1.1102881535284802e-05,15.3066819994717,512,33.0,512,512,1.1111576326740995,4.924444271239825,4.909,0.192,0.875,0.898,0.59
49,0.48822536335930905,1.0342560260094191e-05,2.1603498375674484,64,26.0,512,256,1.1053222864691175,4.2527807381914675,4.536,0.238,0.891,0.897,0.632
50,0.28174806809611574,1.624392459518606e-05,1.0555971361177874,512,15.0,512,512,1.1799660976893418,3.1616988378999356,4.85,0.204,0.893,0.854,0.649
51,0.3682058390376549,1.9253432551023706e-05,1.6725508967648834,64,53.0,512,256,1.7995756069809596,3.09651743181497,4.436,0.248,0.902,0.883,0.671
52,0.5262207876109559,1.4994652569724875e-05,1.3492591976944153,512,41.0,512,512,1.6699200861492614,3.728999720164924,5.032,0.177,0.889,0.851,0.634
53,0.5359074394654181,1.2763399345633064e-05,1.0041265516650333,256,38.0,512,256,1.3356431384019665,4.421507118626355,4.902,0.195,0.883,0.896,0.613
54,0.3485015153551733,1.1089018426758998e-05,5.951485369346677,512,17.0,512,512,1.6684368401233407,5.065965480813441,4.959,0.186,0.877,0.884,0.596
55,0.2851082353783774,1.5375179533739635e-05,22.457554054199576,256,47.0,512,512,1.1382382213594175,5.242436583259385,4.651,0.22,0.881,0.915,0.602
56,0.2784504330040226,1.0871994653422883e-05,13.36449540819087,512,44.0,512,256,1.4642317326339764,5.338678042834746,4.962,0.191,0.876,0.898,0.591
57,0.4866321591501639,1.5743089940199983e-05,7.7361118769685655,128,41.0,512,256,1.4131280323214543,3.292306746769808,4.678,0.227,0.897,0.883,0.654
