epoch,a_accuracy,a_f_0,a_f_1,a_loss,a_p_1,a_r_1,loss,main_accuracy,main_loss,val_a_accuracy,val_a_f_0,val_a_f_1,val_a_loss,val_a_p_1,val_a_r_1,val_loss,val_main_accuracy,val_main_loss
0,0.49338433,nan,0.62558866,1.1851323,0.46824554,0.9597678,7.514049947195298,0.06982305,5.9429173,0.5487105846405029,0.33647993206977844,0.6498748660087585,1.0301079750061035,0.49607545137405396,0.9546005725860596,6.467219643743127,0.12034384161233902,5.132832050323486
1,0.63063926,nan,0.6918867,0.9674623,0.5521537,0.941154,6.178387726890628,0.12609597,4.9428587,0.6805157661437988,0.6223412156105042,0.7143277525901794,0.934879720211029,0.5889700651168823,0.9154230356216431,6.021139588943525,0.15902578830718994,4.811817646026611
2,0.7124183,nan,0.73558563,0.8780985,0.61511904,0.92410725,5.671297555294368,0.19480312,4.55013,0.730659008026123,0.6921301484107971,0.7531626224517822,0.8589678406715393,0.630812406539917,0.9421907067298889,5.613749312807974,0.22636103630065918,4.50258207321167
3,0.74685156,nan,0.7706596,0.81799793,0.65792584,0.9370798,5.239659512345156,0.24294595,4.2356596,0.7478510141372681,0.7150404453277588,0.7650280594825745,0.8169140219688416,0.6466988921165466,0.9419105648994446,5.2952099666212895,0.25931233167648315,4.238522052764893
4,0.76183647,nan,0.7823371,0.76015836,0.6708989,0.9478029,4.881667034906879,0.27450982,3.8984203,0.7550143003463745,0.7257779240608215,0.769269585609436,0.7975863814353943,0.6557202339172363,0.9354413747787476,5.081964735998465,0.2951289415359497,4.050166606903076
5,0.7731548,nan,0.79153687,0.73260033,0.68228245,0.95063,4.574010222717923,0.31005898,3.580584,0.7707736492156982,0.7479856014251709,0.7797636389732361,0.7926714420318604,0.6761869192123413,0.925441324710846,4.880920373266269,0.3166189193725586,3.8554677963256836
6,0.7854296,0.765751,0.7906812,0.70313096,0.6861762,0.9393455,4.307150091857749,0.3424199,3.3522604,0.769340991973877,0.7495464086532593,0.7767772674560547,0.7911821603775024,0.673707127571106,0.9216403365135193,4.71925715935606,0.35243552923202515,3.696053981781006
7,0.7985015,0.7845924,0.8001715,0.68573886,0.6995605,0.94142336,4.057573823671905,0.3591583,3.191528,0.7664756178855896,0.7433019876480103,0.7765992879867554,0.774071455001831,0.6684615612030029,0.9314789175987244,4.572371033337874,0.3782235085964203,3.5722951889038086
8,0.7962697,nan,0.809985,0.67005426,0.7065789,0.95491475,3.8352208939462153,0.39996812,2.9647186,0.7750716209411621,0.7546476721763611,0.7828162908554077,0.7707885503768921,0.6770710349082947,0.9314789175987244,4.470011138642756,0.38252148032188416,3.473724126815796
9,0.80121154,nan,0.8130655,0.6560203,0.7090857,0.9586942,3.6404714772865834,0.41782242,2.7898285,0.780802309513092,0.7619224190711975,0.7868328094482422,0.7836014032363892,0.6852277517318726,0.9276910424232483,4.406476807799244,0.3954154849052429,3.3944661617279053
