epoch,a_accuracy,a_f_0,a_f_1,a_loss,a_p_1,a_r_1,loss,main_accuracy,main_loss,val_a_accuracy,val_a_f_0,val_a_f_1,val_a_loss,val_a_p_1,val_a_r_1,val_loss,val_main_accuracy,val_main_loss
0,0.48939902,nan,0.63062465,1.1872597,0.4739019,0.96854,7.468704523432868,0.07062012,5.9357595,0.5644699335098267,0.3394336998462677,0.6740707159042358,1.0712237358093262,0.5272996425628662,0.9425428509712219,6.682084900601887,0.07879655808210373,5.286418437957764
1,0.63542163,nan,0.70254755,0.9624574,0.5632941,0.9481454,6.131907508910301,0.12832776,4.8823333,0.6790831089019775,0.594429075717926,0.7321010231971741,1.019537091255188,0.6144008040428162,0.9160681366920471,6.324962480703534,0.1432664692401886,4.995316505432129
2,0.71576595,nan,0.74745333,0.85304606,0.6273494,0.93330586,5.621910523250877,0.19225252,4.5060654,0.6948423981666565,0.625372588634491,0.7409980893135071,0.9610521793365479,0.6244914531707764,0.9187086224555969,5.974539330490681,0.20916905999183655,4.720573902130127
3,0.7494022,nan,0.7735192,0.7851394,0.6581853,0.9447835,5.201044245083975,0.24533716,4.207322,0.730659008026123,0.6889581084251404,0.7605438828468323,0.953481137752533,0.6640002727508545,0.8988475799560547,5.720187252777012,0.2435530126094818,4.475568771362305
4,0.7733142,nan,0.7909343,0.743341,0.6810886,0.9490785,4.831848883313386,0.28359637,3.8878806,0.7263610363006592,0.6848394274711609,0.755579948425293,0.939609706401825,0.6607757806777954,0.890113115310669,5.48220549476864,0.2679083049297333,4.255279064178467
5,0.77841544,0.7581259,0.7847967,0.7262531,0.67760354,0.94113314,4.531176883828862,0.317392,3.6146073,0.7292263507843018,0.6888444423675537,0.7587512731552124,0.9365110397338867,0.6635659337043762,0.8953253030776978,5.294353532927767,0.3065902590751648,4.071178913116455
6,0.79387856,nan,0.806095,0.68862724,0.70269567,0.95249516,4.222862535204857,0.35326,3.2958193,0.7335243821144104,0.6953661441802979,0.7623134255409241,0.9443580508232117,0.6662356853485107,0.8988969326019287,5.164982271057829,0.32951289415359497,3.9305670261383057
7,0.79818267,nan,0.8086934,0.67751276,0.70837307,0.949094,3.998378469064896,0.37860674,3.15086,0.7320916652679443,0.6884016394615173,0.7636839151382446,0.9272956848144531,0.6612756252288818,0.9107425808906555,5.036739591199552,0.3252148926258087,3.8254692554473877
8,0.80025506,nan,0.81280553,0.657678,0.707492,0.9620646,3.774434475584804,0.405707,2.9437397,0.7349570393562317,0.695909857749939,0.7631849050521851,0.9616348743438721,0.6693100333213806,0.8963631987571716,4.994771164946023,0.34957021474838257,3.7375762462615967
9,0.8051969,nan,0.80418104,0.6666744,0.7060917,0.94099015,3.617926686835901,0.4293002,2.7771273,0.7406876683235168,0.6998693346977234,0.7699981331825256,0.9436811804771423,0.6710842251777649,0.9105262160301208,4.912026219518274,0.3681948482990265,3.678602695465088
10,0.81922525,0.80878526,0.81714815,0.6254993,0.7193279,0.9516651,3.4378308268077165,0.44603857,2.5910516,0.7464183568954468,0.7114906907081604,0.7720676064491272,0.9462381601333618,0.6796948909759521,0.9018411040306091,4.827057020028888,0.3667621910572052,3.589830160140991
11,0.8144429,nan,0.82293653,0.6178315,0.72492516,0.95795256,3.295495024128202,0.46261758,2.4613588,0.7492836713790894,0.7149747014045715,0.7745248675346375,0.9456372857093811,0.6840830445289612,0.9017917513847351,4.787256758670752,0.3853868246078491,3.5508575439453125
12,0.81667465,nan,0.8248513,0.6046129,0.7277154,0.9576797,3.1566927847291377,0.47680536,2.3498416,0.7464183568954468,0.7084523439407349,0.7741296291351318,0.9449787139892578,0.6802311539649963,0.908068835735321,4.748396650767941,0.3868194818496704,3.512439489364624
13,0.81842816,nan,0.81618744,0.6051628,0.7200785,0.9480976,3.0581056263274635,0.48684838,2.2942734,0.7507163286209106,0.7176670432090759,0.7757160663604736,0.9540925621986389,0.6858918070793152,0.9025540947914124,4.715836494221728,0.40114614367485046,3.467712163925171
14,0.82528293,0.81778926,0.8204463,0.60261697,0.7271628,0.94708705,2.9377223620588806,0.50868803,2.1579854,0.7492836713790894,0.7160190939903259,0.7745463848114014,0.9433164596557617,0.6841287016868591,0.9025540947914124,4.666438198362859,0.3982807993888855,3.432724952697754
15,0.8249641,nan,0.8321728,0.5873856,0.73701423,0.9612583,2.833448858708072,0.51713693,2.0447533,0.7593123316764832,0.7302301526069641,0.7812953591346741,0.9602928757667542,0.6938310265541077,0.9025540947914124,4.6688416940093385,0.4083094596862793,3.4126107692718506
16,0.83006537,0.82290417,0.827123,0.57527494,0.7335234,0.9534249,2.73146323687947,0.5247888,1.9576777,0.7550143003463745,0.7241842150688171,0.7783127427101135,0.9544485211372375,0.6893739104270935,0.9025540947914124,4.63851085160045,0.41547277569770813,3.3900368213653564
17,0.8324566,0.8247228,0.8272715,0.57448834,0.7341738,0.9528149,2.645591305675412,0.54344016,1.878818,0.7478510141372681,0.7139514684677124,0.7735514044761658,0.9664070010185242,0.6821998953819275,0.9025540947914124,4.639688696082478,0.40544411540031433,3.375187873840332
18,0.82608,nan,0.8330408,0.568089,0.73615634,0.96497583,2.5614838987451107,0.5614539,1.8076718,0.7578796744346619,0.7281383872032166,0.7804140448570251,0.9728361368179321,0.6930439472198486,0.9025540947914124,4.648168990126995,0.41547277569770813,3.375256299972534
19,0.8318189,nan,0.83725166,0.5585699,0.74425375,0.9629139,2.4751678643786468,0.5648015,1.7249819,0.7564470171928406,0.7289329767227173,0.7775188088417053,1.0035102367401123,0.6942303776741028,0.8932467103004456,4.685621538271535,0.42263609170913696,3.3721799850463867
